Date,Close/Last,Volume,Open,High,Low
07/25/2025,$316.06,147287900,$308.74,$323.63,$308.01
07/24/2025,$305.30,156966000,$310.00,$310.15,$300.41
07/23/2025,$332.56,92553760,$330.90,$336.20,$328.67
07/22/2025,$332.11,77370370,$329.74,$335.4098,$321.55
07/21/2025,$328.49,75768800,$334.40,$338.00,$326.88
07/18/2025,$329.65,94254990,$321.66,$330.90,$321.42
07/17/2025,$319.41,73922870,$323.15,$324.34,$317.0601
07/16/2025,$321.67,97284790,$312.80,$323.50,$312.62
07/15/2025,$310.78,77556350,$319.675,$321.20,$310.50
07/14/2025,$316.90,78043430,$317.73,$322.5986,$312.67
07/11/2025,$313.51,79236440,$307.89,$314.09,$305.65
07/10/2025,$309.87,104365300,$300.05,$310.48,$300.00
07/09/2025,$295.88,75586770,$297.55,$300.15,$293.55
07/08/2025,$297.81,103246700,$297.00,$304.0499,$294.35
07/07/2025,$293.94,131177900,$291.37,$296.15,$288.7701
07/03/2025,$315.35,58042300,$317.99,$318.45,$312.76
07/02/2025,$315.65,119483700,$312.63,$316.832,$303.82
07/01/2025,$300.71,145085700,$298.46,$305.89,$293.21
06/30/2025,$317.66,76695080,$319.90,$325.5799,$316.60
06/27/2025,$323.63,89067050,$324.51,$329.3393,$317.495
06/26/2025,$325.78,80440910,$324.61,$331.05,$323.61
06/25/2025,$327.55,119845100,$342.70,$343.00,$320.40
06/24/2025,$340.47,114736200,$356.17,$356.26,$340.44
06/23/2025,$348.68,190716800,$327.54,$357.54,$327.48
06/20/2025,$322.16,108688000,$327.95,$332.36,$317.78
06/18/2025,$322.05,95137690,$317.31,$329.32,$315.45
06/17/2025,$316.35,88282670,$326.09,$327.26,$314.74
06/16/2025,$329.13,83925860,$331.29,$332.05,$326.41
06/13/2025,$325.31,128964300,$313.97,$332.99,$313.30
06/12/2025,$319.11,105127500,$323.075,$332.56,$316.86
06/11/2025,$326.43,122611400,$334.395,$335.50,$322.50
06/10/2025,$326.09,151256500,$314.94,$327.83,$310.667
06/09/2025,$308.58,140908900,$285.955,$309.83,$281.85
06/06/2025,$295.14,164747700,$298.83,$305.50,$291.14
06/05/2025,$284.70,292818700,$322.49,$324.5499,$273.21
06/04/2025,$332.05,98912080,$345.095,$345.60,$327.3308
06/03/2025,$344.27,99324540,$346.595,$355.40,$343.04
06/02/2025,$342.69,81873830,$343.50,$348.02,$333.33
05/30/2025,$346.46,123474900,$355.52,$363.68,$345.29
05/29/2025,$358.43,88545670,$365.29,$367.71,$356.00
05/28/2025,$356.90,91404310,$364.84,$365.00,$355.91
05/27/2025,$362.89,120146400,$347.35,$363.79,$347.32
05/23/2025,$339.34,84654820,$337.92,$343.18,$333.21
05/22/2025,$341.04,97113420,$331.90,$347.27,$331.39
05/21/2025,$334.62,102354800,$344.43,$347.35,$332.20
05/20/2025,$343.82,131715500,$347.87,$354.9899,$341.63
05/19/2025,$342.09,88869850,$336.30,$343.00,$333.37
05/16/2025,$349.98,95895670,$346.24,$351.62,$342.33
05/15/2025,$342.82,97882600,$340.34,$346.1393,$334.7153
05/14/2025,$347.68,136997300,$342.50,$350.00,$337.00
05/13/2025,$334.07,136992600,$320.00,$337.5894,$316.80
05/12/2025,$318.38,112826700,$321.99,$322.21,$311.50
05/09/2025,$298.26,132387800,$290.21,$307.04,$290.00
05/08/2025,$284.82,97539450,$279.63,$289.80,$279.41
05/07/2025,$276.22,71882410,$276.88,$277.92,$271.00
05/06/2025,$275.35,76715790,$273.105,$277.73,$271.35
05/05/2025,$280.26,94618880,$284.57,$284.849,$274.40
05/02/2025,$287.21,114454700,$284.90,$294.78,$279.81
05/01/2025,$280.52,99658970,$280.01,$290.8688,$279.81
04/30/2025,$282.16,128961100,$279.90,$284.45,$270.78
04/29/2025,$292.03,108906600,$285.50,$293.32,$279.4695
04/28/2025,$285.88,151731800,$288.98,$294.86,$272.42
04/25/2025,$284.95,167560700,$261.69,$286.85,$259.63
04/24/2025,$259.51,94464200,$250.50,$259.54,$249.20
04/23/2025,$250.74,150381900,$254.86,$259.4499,$244.43
04/22/2025,$237.97,120858500,$230.96,$242.79,$229.8501
04/21/2025,$227.50,97768010,$230.26,$232.21,$222.79
04/17/2025,$241.37,83404780,$243.47,$244.34,$237.6833
04/16/2025,$241.55,112378700,$247.61,$251.97,$233.89
04/15/2025,$254.11,79594320,$249.91,$258.75,$247.54
04/14/2025,$252.35,100135200,$258.36,$261.80,$245.93
04/11/2025,$252.31,128948100,$251.84,$257.74,$241.3629
04/10/2025,$252.40,181722600,$260.00,$262.49,$239.33
04/09/2025,$272.20,219433400,$224.69,$274.69,$223.88
04/08/2025,$221.86,171603500,$245.00,$250.44,$217.80
04/07/2025,$233.29,183453800,$223.78,$252.00,$214.25
04/04/2025,$239.43,181229400,$255.38,$261.00,$236.00
04/03/2025,$267.28,136174300,$265.29,$276.30,$261.51
04/02/2025,$282.76,212787800,$254.60,$284.99,$251.27
04/01/2025,$268.46,146486900,$263.80,$277.45,$259.25
03/31/2025,$259.16,134008900,$249.31,$260.56,$243.3601
03/28/2025,$263.55,123809400,$275.575,$276.10,$260.57
03/27/2025,$273.13,162572100,$272.48,$291.85,$271.8216
03/26/2025,$272.06,156254400,$282.66,$284.90,$266.51
03/25/2025,$288.14,150361500,$283.60,$288.20,$271.28
03/24/2025,$278.39,169079900,$258.075,$278.64,$256.33
03/21/2025,$248.71,132728700,$234.985,$249.52,$234.55
03/20/2025,$236.26,99028270,$233.345,$238.00,$230.0501
03/19/2025,$235.86,111993800,$231.61,$241.41,$229.201
03/18/2025,$225.31,111477600,$228.155,$230.10,$222.28
03/17/2025,$238.01,111900600,$245.055,$245.40,$232.80
03/14/2025,$249.98,100242300,$247.31,$251.58,$240.73
03/13/2025,$240.68,114813500,$248.125,$248.29,$232.60
03/12/2025,$248.09,142215700,$247.22,$251.84,$241.10
03/11/2025,$230.58,174896400,$225.305,$237.0649,$217.02
03/10/2025,$222.15,189076900,$252.535,$253.37,$220.00
03/07/2025,$262.67,102369600,$259.32,$266.2499,$250.73
03/06/2025,$263.45,98451570,$272.06,$272.65,$260.02
03/05/2025,$279.10,94042910,$272.92,$279.55,$267.71
03/04/2025,$272.04,126706600,$270.93,$284.35,$261.8401
03/03/2025,$284.65,115551400,$300.34,$303.94,$277.30
